library,operation,iter,microseconds
mlkem-native,keygen,389,15.7010
mlkem-native,keygen,390,15.7420
mlkem-native,keygen,391,15.7200
mlkem-native,keygen,392,16.8690
mlkem-native,keygen,393,15.8520
mlkem-native,keygen,394,15.5760
mlkem-native,keygen,395,16.0740
mlkem-native,keygen,396,16.4570
mlkem-native,keygen,397,15.9230
mlkem-native,keygen,398,15.8860
mlkem-native,keygen,399,16.8440
mlkem-native,keygen,400,16.5360
mlkem-native,keygen,401,15.7190
mlkem-native,keygen,402,15.7250
mlkem-native,keygen,403,15.6870
mlkem-native,keygen,404,15.8020
mlkem-native,keygen,405,15.9880
mlkem-native,keygen,406,15.7330
mlkem-native,keygen,407,15.7290
mlkem-native,keygen,408,15.5980
mlkem-native,keygen,409,15.6780
mlkem-native,keygen,410,15.7280
mlkem-native,keygen,411,15.6770
mlkem-native,keygen,412,16.7950
mlkem-native,keygen,413,15.7230
mlkem-native,keygen,414,15.7540
mlkem-native,keygen,415,15.9790
mlkem-native,keygen,416,15.9170
mlkem-native,keygen,417,15.7670
mlkem-native,keygen,418,15.9020
mlkem-native,keygen,419,15.8410
mlkem-native,keygen,420,15.5910
mlkem-native,keygen,421,15.6920
mlkem-native,keygen,422,16.1410
mlkem-native,keygen,423,15.7800
mlkem-native,keygen,424,16.7150
mlkem-native,keygen,425,15.6430
mlkem-native,keygen,426,15.8320
mlkem-native,keygen,427,15.8610
mlkem-native,keygen,428,15.6550
mlkem-native,keygen,429,15.9250
mlkem-native,keygen,430,15.6930
mlkem-native,keygen,431,65.3300
mlkem-native,keygen,432,16.5940
mlkem-native,keygen,433,15.4490
mlkem-native,keygen,434,15.6670
mlkem-native,keygen,435,15.9690
mlkem-native,keygen,436,15.2840
mlkem-native,keygen,437,15.5980
mlkem-native,keygen,438,16.7020
mlkem-native,keygen,439,15.5350
mlkem-native,keygen,440,15.6120
mlkem-native,keygen,441,15.6400
mlkem-native,keygen,442,16.8270
mlkem-native,keygen,443,16.9040
mlkem-native,keygen,444,16.3930
mlkem-native,keygen,445,15.5360
mlkem-native,keygen,446,15.4070
mlkem-native,keygen,447,15.3320
mlkem-native,keygen,448,15.4970
mlkem-native,keygen,449,15.5990
mlkem-native,keygen,450,15.7560
mlkem-native,keygen,451,15.5680
mlkem-native,keygen,452,15.6020
mlkem-native,keygen,453,15.9340
mlkem-native,keygen,454,22.6670
mlkem-native,keygen,455,16.6400
mlkem-native,keygen,456,15.8610
mlkem-native,keygen,457,16.5410
mlkem-native,keygen,458,15.5320
mlkem-native,keygen,459,15.3200
mlkem-native,keygen,460,15.5380
mlkem-native,keygen,461,15.2250
mlkem-native,keygen,462,15.5890
mlkem-native,keygen,463,15.5420
mlkem-native,keygen,464,15.5470
mlkem-native,keygen,465,15.7800
mlkem-native,keygen,466,15.9310
mlkem-native,keygen,467,15.9710
mlkem-native,keygen,468,16.0580
mlkem-native,keygen,469,15.9560
mlkem-native,keygen,470,16.3260
mlkem-native,keygen,471,16.9890
mlkem-native,keygen,472,15.6240
mlkem-native,keygen,473,15.6210
mlkem-native,keygen,474,15.5030
mlkem-native,keygen,475,15.7420
mlkem-native,keygen,476,15.6410
mlkem-native,keygen,477,15.4780
mlkem-native,keygen,478,15.7380
mlkem-native,keygen,479,15.4980
mlkem-native,keygen,480,15.7170
mlkem-native,keygen,481,15.3810
mlkem-native,keygen,482,15.5810
mlkem-native,keygen,483,15.5980
mlkem-native,keygen,484,15.6880
mlkem-native,keygen,485,15.6060
mlkem-native,keygen,486,15.5940
mlkem-native,keygen,487,15.4420
mlkem-native,keygen,488,15.4880
mlkem-native,keygen,489,15.5570
mlkem-native,keygen,490,15.4510
mlkem-native,keygen,491,15.7490
mlkem-native,keygen,492,15.6120
mlkem-native,keygen,493,15.4320
mlkem-native,keygen,494,15.5820
mlkem-native,keygen,495,15.6410
mlkem-native,keygen,496,15.4730
mlkem-native,keygen,497,15.5600
mlkem-native,keygen,498,15.6020
mlkem-native,keygen,499,15.7090
mlkem-native,keygen,500,15.5410
mlkem-native,keygen,501,15.6490
mlkem-native,keygen,502,15.6140
